run_id,pipeline_name,scheduled_for,started_at,ended_at,status,trigger_type,duration_seconds,rows_loaded,freshness_minutes,error_message
run_0001,commerce_daily,2026-07-21,2026-07-21T06:02:00,2026-07-21T06:02:34.412822,success,schedule,34.413,3191,30,
run_0002,crm_customer_sync,2026-07-21,2026-07-21T05:06:00,2026-07-21T05:06:18.757892,success,schedule,18.758,2014,27,
run_0003,finance_revenue_close,2026-07-21,2026-07-21T07:08:00,2026-07-21T07:08:16.063784,failed,schedule,16.064,356,33,source freshness SLA exceeded
run_0004,commerce_daily,2026-07-22,2026-07-22T06:08:00,2026-07-22T06:08:34.938522,success,schedule,34.939,3768,24,
run_0005,crm_customer_sync,2026-07-22,2026-07-22T05:01:00,2026-07-22T05:01:17.285342,success,schedule,17.285,409,20,
run_0006,finance_revenue_close,2026-07-22,2026-07-22T07:04:00,2026-07-22T07:04:18.078002,success,schedule,18.078,2648,34,
run_0007,commerce_daily,2026-07-23,2026-07-23T06:03:00,2026-07-23T06:03:31.286901,success,schedule,31.287,4064,29,
run_0008,crm_customer_sync,2026-07-23,2026-07-23T05:01:00,2026-07-23T05:01:19.838728,success,schedule,19.839,3092,13,
run_0009,finance_revenue_close,2026-07-23,2026-07-23T07:07:00,2026-07-23T07:07:22.346265,success,schedule,22.346,2753,16,
run_0010,commerce_daily,2026-07-24,2026-07-24T06:07:00,2026-07-24T06:07:30.218996,success,schedule,30.219,3909,40,
run_0011,crm_customer_sync,2026-07-24,2026-07-24T05:01:00,2026-07-24T05:01:23.556128,success,schedule,23.556,2035,11,
run_0012,finance_revenue_close,2026-07-24,2026-07-24T07:05:00,2026-07-24T07:05:17.574507,success,schedule,17.575,452,7,
run_0013,commerce_daily,2026-07-25,2026-07-25T06:05:00,2026-07-25T06:05:36.046104,success,schedule,36.046,3150,38,
run_0014,crm_customer_sync,2026-07-25,2026-07-25T05:04:00,2026-07-25T05:04:19.615550,success,schedule,19.616,1211,28,
run_0015,commerce_daily,2026-07-26,2026-07-26T06:02:00,2026-07-26T06:02:28.680105,success,schedule,28.68,3278,30,
run_0016,crm_customer_sync,2026-07-26,2026-07-26T05:07:00,2026-07-26T05:07:17.895536,success,schedule,17.896,3074,12,
run_0017,commerce_daily,2026-07-27,2026-07-27T06:07:00,2026-07-27T06:07:28.915550,success,schedule,28.916,3671,21,
run_0018,crm_customer_sync,2026-07-27,2026-07-27T05:03:00,2026-07-27T05:03:22.514450,success,schedule,22.514,2377,20,
run_0019,finance_revenue_close,2026-07-27,2026-07-27T07:07:00,2026-07-27T07:07:21.288148,success,schedule,21.288,415,36,
run_0020,commerce_daily,2026-07-28,2026-07-28T06:08:00,2026-07-28T06:08:31.831126,success,schedule,31.831,3870,18,
run_0021,crm_customer_sync,2026-07-28,2026-07-28T05:06:00,2026-07-28T05:06:20.558665,success,schedule,20.559,2711,32,
run_0022,finance_revenue_close,2026-07-28,2026-07-28T07:07:00,2026-07-28T07:07:23.929340,success,schedule,23.929,1003,17,
run_0023,commerce_daily,2026-07-29,2026-07-29T06:03:00,2026-07-29T06:03:29.842232,success,schedule,29.842,4022,11,
run_0024,crm_customer_sync,2026-07-29,2026-07-29T05:05:00,2026-07-29T05:05:25.695105,success,schedule,25.695,1743,29,
run_0025,finance_revenue_close,2026-07-29,2026-07-29T07:06:00,2026-07-29T07:06:21.438479,success,schedule,21.438,400,19,
run_0026,commerce_daily,2026-07-30,2026-07-30T06:02:00,2026-07-30T06:02:29.652150,success,schedule,29.652,3758,29,
run_0027,crm_customer_sync,2026-07-30,2026-07-30T05:05:00,2026-07-30T05:05:22.359587,success,schedule,22.36,2526,19,
run_0028,finance_revenue_close,2026-07-30,2026-07-30T07:04:00,2026-07-30T07:04:20.930995,success,schedule,20.931,632,25,
run_0029,commerce_daily,2026-07-31,2026-07-31T06:01:00,2026-07-31T06:01:29.760944,success,schedule,29.761,3885,24,
run_0030,crm_customer_sync,2026-07-31,2026-07-31T05:03:00,2026-07-31T05:03:22.560714,success,schedule,22.561,1796,12,
run_0031,finance_revenue_close,2026-07-31,2026-07-31T07:04:00,2026-07-31T07:04:19.082487,success,schedule,19.082,676,16,
run_0032,commerce_daily,2026-08-01,2026-08-01T06:07:00,2026-08-01T06:07:01.840535,failed,schedule,1.841,0,36,transform query failed
run_0033,crm_customer_sync,2026-08-01,2026-08-01T05:06:00,2026-08-01T05:06:21.250121,success,schedule,21.25,1440,16,
run_0034,commerce_daily,2026-08-02,2026-08-02T06:06:00,2026-08-02T06:06:31.948274,success,schedule,31.948,4037,19,
run_0035,crm_customer_sync,2026-08-02,2026-08-02T05:03:00,2026-08-02T05:03:23.662959,success,schedule,23.663,2441,4,
run_0036,commerce_daily,2026-08-03,2026-08-03T06:01:00,2026-08-03T06:01:31.725148,success,schedule,31.725,3855,30,
run_0037,crm_customer_sync,2026-08-03,2026-08-03T05:03:00,2026-08-03T05:03:17.293030,success,schedule,17.293,1209,16,
run_0038,finance_revenue_close,2026-08-03,2026-08-03T07:08:00,2026-08-03T07:08:21.037695,success,schedule,21.038,461,19,
run_0039,commerce_daily,2026-08-04,2026-08-04T06:06:00,2026-08-04T06:06:34.272177,success,schedule,34.272,4092,23,
run_0040,crm_customer_sync,2026-08-04,2026-08-04T05:03:00,2026-08-04T05:03:21.191603,success,schedule,21.192,563,16,
run_0041,finance_revenue_close,2026-08-04,2026-08-04T07:08:00,2026-08-04T07:08:28.583274,success,schedule,28.583,1852,20,
run_0042,commerce_daily,2026-08-05,2026-08-05T06:05:00,2026-08-05T06:05:34.260105,success,schedule,34.26,3488,35,
run_0043,crm_customer_sync,2026-08-05,2026-08-05T05:02:00,2026-08-05T05:02:20.551754,success,schedule,20.552,2152,28,
run_0044,finance_revenue_close,2026-08-05,2026-08-05T07:00:00,2026-08-05T07:00:28.159417,success,schedule,28.159,422,16,
run_0045,commerce_daily,2026-08-06,2026-08-06T06:07:00,2026-08-06T06:07:31.605702,success,schedule,31.606,3642,23,
run_0046,crm_customer_sync,2026-08-06,2026-08-06T05:05:00,2026-08-06T05:05:29.930058,success,schedule,29.93,1847,4,
run_0047,finance_revenue_close,2026-08-06,2026-08-06T07:07:00,2026-08-06T07:07:18.530532,success,schedule,18.531,2157,29,
run_0048,commerce_daily,2026-08-07,2026-08-07T06:01:00,2026-08-07T06:01:32.167380,success,schedule,32.167,3714,9,
run_0049,crm_customer_sync,2026-08-07,2026-08-07T05:00:00,2026-08-07T05:00:18.442542,success,schedule,18.443,1496,30,
run_0050,finance_revenue_close,2026-08-07,2026-08-07T07:04:00,2026-08-07T07:04:20.613049,success,schedule,20.613,799,17,
run_0051,commerce_daily,2026-08-08,2026-08-08T06:07:00,2026-08-08T06:07:27.842091,success,schedule,27.842,3669,14,
run_0052,crm_customer_sync,2026-08-08,2026-08-08T05:07:00,2026-08-08T05:07:19.388791,success,schedule,19.389,2556,17,
run_0053,commerce_daily,2026-08-09,2026-08-09T06:05:00,2026-08-09T06:05:27.300753,success,schedule,27.301,3437,34,
run_0054,crm_customer_sync,2026-08-09,2026-08-09T05:02:00,2026-08-09T05:02:25.700363,success,schedule,25.7,2891,19,
run_0055,commerce_daily,2026-08-10,2026-08-10T06:03:00,2026-08-10T06:03:21.148141,failed,schedule,21.148,4090,25,source freshness SLA exceeded
run_0056,crm_customer_sync,2026-08-10,2026-08-10T05:04:00,2026-08-10T05:04:23.836807,success,schedule,23.837,2214,27,
run_0057,finance_revenue_close,2026-08-10,2026-08-10T07:02:00,2026-08-10T07:02:24.094333,success,schedule,24.094,2383,18,
run_0058,commerce_daily,2026-08-11,2026-08-11T06:02:00,2026-08-11T06:02:28.993947,success,schedule,28.994,4057,23,
run_0059,crm_customer_sync,2026-08-11,2026-08-11T05:04:00,2026-08-11T05:04:18.373745,success,schedule,18.374,2167,16,
run_0060,finance_revenue_close,2026-08-11,2026-08-11T07:06:00,2026-08-11T07:06:17.467039,success,schedule,17.467,3063,35,
run_0061,commerce_daily,2026-08-12,2026-08-12T06:05:00,2026-08-12T06:05:27.484327,success,schedule,27.484,3543,15,
run_0062,crm_customer_sync,2026-08-12,2026-08-12T05:01:00,2026-08-12T05:01:23.394760,success,schedule,23.395,417,32,
run_0063,finance_revenue_close,2026-08-12,2026-08-12T07:04:00,2026-08-12T07:04:19.483556,success,schedule,19.484,3153,29,
run_0064,commerce_daily,2026-08-13,2026-08-13T06:01:00,2026-08-13T06:01:29.170913,success,schedule,29.171,3936,36,
run_0065,crm_customer_sync,2026-08-13,2026-08-13T05:05:00,2026-08-13T05:05:18.924231,success,schedule,18.924,3192,19,
run_0066,finance_revenue_close,2026-08-13,2026-08-13T07:08:00,2026-08-13T07:08:27.963127,success,schedule,27.963,2532,30,
run_0067,commerce_daily,2026-08-14,2026-08-14T06:07:00,2026-08-14T06:07:33.594966,success,schedule,33.595,3825,22,
run_0068,crm_customer_sync,2026-08-14,2026-08-14T05:07:00,2026-08-14T05:07:17.726858,success,schedule,17.727,2177,8,
run_0069,finance_revenue_close,2026-08-14,2026-08-14T07:02:00,2026-08-14T07:02:29.637551,success,schedule,29.638,997,12,
run_0070,commerce_daily,2026-08-15,2026-08-15T06:08:00,2026-08-15T06:08:22.131250,success,schedule,22.131,3676,29,
run_0071,crm_customer_sync,2026-08-15,2026-08-15T05:07:00,2026-08-15T05:07:04.557495,failed,schedule,4.557,0,24,source freshness SLA exceeded
run_0072,commerce_daily,2026-08-16,2026-08-16T06:03:00,2026-08-16T06:03:34.518163,success,schedule,34.518,3598,46,
run_0073,crm_customer_sync,2026-08-16,2026-08-16T05:04:00,2026-08-16T05:04:24.714756,success,schedule,24.715,705,15,
run_0074,commerce_daily,2026-08-17,2026-08-17T06:04:00,2026-08-17T06:04:36.914940,success,schedule,36.915,3731,19,
run_0075,crm_customer_sync,2026-08-17,2026-08-17T05:07:00,2026-08-17T05:07:20.925668,success,schedule,20.926,2272,23,
run_0076,finance_revenue_close,2026-08-17,2026-08-17T07:05:00,2026-08-17T07:05:21.026524,success,schedule,21.027,1993,24,
run_0077,commerce_daily,2026-08-18,2026-08-18T06:07:00,2026-08-18T06:07:24.569241,success,schedule,24.569,3862,10,
