run_id,step_order,step_name,layer,status,started_at,ended_at,duration_seconds,rows_in,rows_out,target,error_message
run_0001,1,Extract commerce orders,Extract,success,2026-07-21T06:02:00,2026-07-21T06:02:06.099538,6.1,0,3145,commerce_orders.csv,
run_0001,2,Load raw orders,Load,success,2026-07-21T06:02:06.099538,2026-07-21T06:02:10.630874,4.531,3122,3122,raw_orders,
run_0001,3,Transform order fact,Transform,success,2026-07-21T06:02:10.630874,2026-07-21T06:02:21.064595,10.434,2768,3191,fct_orders,
run_0001,4,Build revenue marts,Transform,success,2026-07-21T06:02:21.064595,2026-07-21T06:02:29.595254,8.531,3271,2849,mart_daily_revenue,
run_0001,5,Run data quality,Quality,success,2026-07-21T06:02:29.595254,2026-07-21T06:02:34.412822,4.818,11,11,quality_checks,
run_0002,1,Extract CRM customers,Extract,success,2026-07-21T05:06:00,2026-07-21T05:06:03.356174,3.356,0,373,crm_customers.csv,
run_0002,2,Load raw customers,Load,success,2026-07-21T05:06:03.356174,2026-07-21T05:06:05.405966,2.05,373,373,raw_customers,
run_0002,3,Build customer dimension,Transform,success,2026-07-21T05:06:05.405966,2026-07-21T05:06:14.765273,9.359,3585,2014,dim_customers,
run_0002,4,Run data quality,Quality,success,2026-07-21T05:06:14.765273,2026-07-21T05:06:18.757892,3.993,7,7,quality_checks,
run_0003,1,Read revenue mart,Extract,success,2026-07-21T07:08:00,2026-07-21T07:08:04.707830,4.708,0,356,mart_daily_revenue,
run_0003,2,Aggregate close metrics,Transform,success,2026-07-21T07:08:04.707830,2026-07-21T07:08:13.020592,8.313,3377,169,finance_close_summary,
run_0003,3,Reconcile daily totals,Quality,failed,2026-07-21T07:08:13.020592,2026-07-21T07:08:16.063784,3.043,12,0,reconciliation,source freshness SLA exceeded
run_0003,4,Publish close snapshot,Load,skipped,2026-07-21T07:08:16.063784,2026-07-21T07:08:16.063784,0,0,0,close_snapshot,
run_0004,1,Extract commerce orders,Extract,success,2026-07-22T06:08:00,2026-07-22T06:08:04.356806,4.357,0,2889,commerce_orders.csv,
run_0004,2,Load raw orders,Load,success,2026-07-22T06:08:04.356806,2026-07-22T06:08:11.088380,6.732,3768,3768,raw_orders,
