order_id,customer_id,product_id,order_date,quantity,unit_price,gross_amount,status,source_updated_at
50001,246,102,2026-05-06,1,744.27,744.27,paid,2026-05-06T13:45:00
50002,235,104,2026-05-06,1,996.38,996.38,paid,2026-05-06T21:32:00
50003,345,104,2026-05-06,1,1003.41,1003.41,paid,2026-05-06T14:23:00
50004,92,102,2026-05-06,2,853.56,1707.12,paid,2026-05-06T11:20:00
50005,239,105,2026-05-06,1,523.98,523.98,paid,2026-05-06T10:26:00
50006,60,103,2026-05-06,1,1320.45,1320.45,paid,2026-05-06T08:07:00
50007,205,101,2026-05-06,3,1227.84,3683.52,paid,2026-05-06T08:10:00
50008,336,104,2026-05-06,2,933.59,1867.18,paid,2026-05-06T21:07:00
50009,23,102,2026-05-06,1,744.15,744.15,paid,2026-05-06T21:13:00
50010,109,102,2026-05-06,1,777.51,777.51,paid,2026-05-06T15:18:00
50011,374,101,2026-05-06,2,1174.93,2349.86,paid,2026-05-06T12:58:00
50012,198,102,2026-05-06,2,867.82,1735.64,paid,2026-05-06T16:57:00
50013,284,104,2026-05-06,4,1163.13,4652.52,paid,2026-05-06T20:45:00
50014,201,105,2026-05-06,1,596.45,596.45,paid,2026-05-06T16:30:00
50015,60,105,2026-05-06,2,515.39,1030.78,paid,2026-05-06T09:23:00
50016,273,102,2026-05-06,1,887.24,887.24,paid,2026-05-06T21:25:00
50017,215,101,2026-05-06,1,1070.26,1070.26,paid,2026-05-06T17:11:00
50018,162,101,2026-05-06,3,1256.6,3769.8,paid,2026-05-06T09:46:00
50019,76,104,2026-05-06,4,1049.81,4199.24,paid,2026-05-06T18:23:00
50020,24,105,2026-05-06,3,515.29,1545.87,refunded,2026-05-06T11:32:00
50021,191,105,2026-05-06,3,600.35,1801.05,refunded,2026-05-06T17:31:00
50022,114,101,2026-05-06,2,1246.02,2492.04,paid,2026-05-06T14:06:00
50023,36,101,2026-05-06,2,1132.59,2265.18,paid,2026-05-06T20:57:00
50024,88,104,2026-05-06,2,1052.47,2104.94,paid,2026-05-06T09:07:00
50025,269,102,2026-05-06,3,895.71,2687.13,paid,2026-05-06T10:58:00
50026,305,103,2026-05-06,4,1508.44,6033.76,paid,2026-05-06T22:58:00
50027,163,101,2026-05-06,4,1149.5,4598.0,paid,2026-05-06T12:49:00
50028,77,103,2026-05-06,2,1248.49,2496.98,paid,2026-05-06T08:18:00
50029,272,105,2026-05-06,2,614.01,1228.02,paid,2026-05-06T10:14:00
50030,131,104,2026-05-06,2,902.74,1805.48,paid,2026-05-06T13:34:00
50031,193,101,2026-05-06,2,1145.16,2290.32,paid,2026-05-06T10:21:00
50032,109,102,2026-05-06,1,830.93,830.93,paid,2026-05-06T20:20:00
50033,144,103,2026-05-06,1,1304.58,1304.58,paid,2026-05-06T21:52:00
50034,366,104,2026-05-06,1,939.86,939.86,paid,2026-05-06T17:58:00
50035,318,101,2026-05-06,1,1234.7,1234.7,paid,2026-05-06T21:04:00
50036,394,103,2026-05-06,3,1386.86,4160.58,paid,2026-05-06T08:07:00
50037,18,105,2026-05-07,2,518.32,1036.64,paid,2026-05-07T10:38:00
50038,249,103,2026-05-07,1,1380.75,1380.75,paid,2026-05-07T18:31:00
50039,349,102,2026-05-07,1,805.79,805.79,paid,2026-05-07T16:03:00
50040,207,105,2026-05-07,3,508.58,1525.74,paid,2026-05-07T14:28:00
50041,27,101,2026-05-07,1,1229.75,1229.75,paid,2026-05-07T17:58:00
50042,261,102,2026-05-07,1,775.05,775.05,paid,2026-05-07T20:12:00
50043,67,102,2026-05-07,2,734.14,1468.28,paid,2026-05-07T09:25:00
